GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Civilian employed population 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Civilian employed population 16 years and over
HC02_EST_VC01,"Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over"
HC02_MOE_VC01,"Management, business, science, and arts occupations; Margin of Error; Civilian employed population 16 years and over"
HC03_EST_VC01,Service occupations; Estimate; Civilian employed population 16 years and over
HC03_MOE_VC01,Service occupations; Margin of Error; Civilian employed population 16 years and over
HC04_EST_VC01,Sales and office occupations; Estimate; Civilian employed population 16 years and over
HC04_MOE_VC01,Sales and office occupations; Margin of Error; Civilian employed population 16 years and over
HC05_EST_VC01,"Natural resources, construction, and maintenance occupations; Estimate; Civilian employed population 16 years and over"
HC05_MOE_VC01,"Natural resources, construction, and maintenance occupations; Margin of Error; Civilian employed population 16 years and over"
HC06_EST_VC01,"Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over"
HC06_MOE_VC01,"Production, transportation, and material moving occupations; Margin of Error; Civilian employed population 16 years and over"
HC01_EST_VC02,"Total; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC01_MOE_VC02,"Total; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC02_EST_VC02,"Management, business, science, and arts occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC02_MOE_VC02,"Management, business, science, and arts occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC03_EST_VC02,"Service occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC03_MOE_VC02,"Service occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC04_EST_VC02,"Sales and office occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC04_MOE_VC02,"Sales and office occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC05_EST_VC02,"Natural resources, construction, and maintenance occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC05_MOE_VC02,"Natural resources, construction, and maintenance occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC06_EST_VC02,"Production, transportation, and material moving occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining"
HC06_MOE_VC02,"Production, transportation, and material moving occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining"
HC01_EST_VC03,Total; Estimate; Construction
HC01_MOE_VC03,Total; Margin of Error; Construction
HC02_EST_VC03,"Management, business, science, and arts occupations; Estimate; Construction"
HC02_MOE_VC03,"Management, business, science, and arts occupations; Margin of Error; Construction"
HC03_EST_VC03,Service occupations; Estimate; Construction
HC03_MOE_VC03,Service occupations; Margin of Error; Construction
HC04_EST_VC03,Sales and office occupations; Estimate; Construction
HC04_MOE_VC03,Sales and office occupations; Margin of Error; Construction
HC05_EST_VC03,"Natural resources, construction, and maintenance occupations; Estimate; Construction"
HC05_MOE_VC03,"Natural resources, construction, and maintenance occupations; Margin of Error; Construction"
HC06_EST_VC03,"Production, transportation, and material moving occupations; Estimate; Construction"
HC06_MOE_VC03,"Production, transportation, and material moving occupations; Margin of Error; Construction"
HC01_EST_VC04,Total; Estimate; Manufacturing
HC01_MOE_VC04,Total; Margin of Error; Manufacturing
HC02_EST_VC04,"Management, business, science, and arts occupations; Estimate; Manufacturing"
HC02_MOE_VC04,"Management, business, science, and arts occupations; Margin of Error; Manufacturing"
HC03_EST_VC04,Service occupations; Estimate; Manufacturing
HC03_MOE_VC04,Service occupations; Margin of Error; Manufacturing
HC04_EST_VC04,Sales and office occupations; Estimate; Manufacturing
HC04_MOE_VC04,Sales and office occupations; Margin of Error; Manufacturing
HC05_EST_VC04,"Natural resources, construction, and maintenance occupations; Estimate; Manufacturing"
HC05_MOE_VC04,"Natural resources, construction, and maintenance occupations; Margin of Error; Manufacturing"
HC06_EST_VC04,"Production, transportation, and material moving occupations; Estimate; Manufacturing"
HC06_MOE_VC04,"Production, transportation, and material moving occupations; Margin of Error; Manufacturing"
HC01_EST_VC05,Total; Estimate; Wholesale trade
HC01_MOE_VC05,Total; Margin of Error; Wholesale trade
HC02_EST_VC05,"Management, business, science, and arts occupations; Estimate; Wholesale trade"
HC02_MOE_VC05,"Management, business, science, and arts occupations; Margin of Error; Wholesale trade"
HC03_EST_VC05,Service occupations; Estimate; Wholesale trade
HC03_MOE_VC05,Service occupations; Margin of Error; Wholesale trade
HC04_EST_VC05,Sales and office occupations; Estimate; Wholesale trade
HC04_MOE_VC05,Sales and office occupations; Margin of Error; Wholesale trade
HC05_EST_VC05,"Natural resources, construction, and maintenance occupations; Estimate; Wholesale trade"
HC05_MOE_VC05,"Natural resources, construction, and maintenance occupations; Margin of Error; Wholesale trade"
HC06_EST_VC05,"Production, transportation, and material moving occupations; Estimate; Wholesale trade"
HC06_MOE_VC05,"Production, transportation, and material moving occupations; Margin of Error; Wholesale trade"
HC01_EST_VC06,Total; Estimate; Retail trade
HC01_MOE_VC06,Total; Margin of Error; Retail trade
HC02_EST_VC06,"Management, business, science, and arts occupations; Estimate; Retail trade"
HC02_MOE_VC06,"Management, business, science, and arts occupations; Margin of Error; Retail trade"
HC03_EST_VC06,Service occupations; Estimate; Retail trade
HC03_MOE_VC06,Service occupations; Margin of Error; Retail trade
HC04_EST_VC06,Sales and office occupations; Estimate; Retail trade
HC04_MOE_VC06,Sales and office occupations; Margin of Error; Retail trade
HC05_EST_VC06,"Natural resources, construction, and maintenance occupations; Estimate; Retail trade"
HC05_MOE_VC06,"Natural resources, construction, and maintenance occupations; Margin of Error; Retail trade"
HC06_EST_VC06,"Production, transportation, and material moving occupations; Estimate; Retail trade"
HC06_MOE_VC06,"Production, transportation, and material moving occupations; Margin of Error; Retail trade"
HC01_EST_VC07,"Total; Estimate; Transportation and warehousing, and utilities"
HC01_MOE_VC07,"Total; Margin of Error; Transportation and warehousing, and utilities"
HC02_EST_VC07,"Management, business, science, and arts occupations; Estimate; Transportation and warehousing, and utilities"
HC02_MOE_VC07,"Management, business, science, and arts occupations; Margin of Error; Transportation and warehousing, and utilities"
HC03_EST_VC07,"Service occupations; Estimate; Transportation and warehousing, and utilities"
HC03_MOE_VC07,"Service occupations; Margin of Error; Transportation and warehousing, and utilities"
HC04_EST_VC07,"Sales and office occupations; Estimate; Transportation and warehousing, and utilities"
HC04_MOE_VC07,"Sales and office occupations; Margin of Error; Transportation and warehousing, and utilities"
HC05_EST_VC07,"Natural resources, construction, and maintenance occupations; Estimate; Transportation and warehousing, and utilities"
HC05_MOE_VC07,"Natural resources, construction, and maintenance occupations; Margin of Error; Transportation and warehousing, and utilities"
HC06_EST_VC07,"Production, transportation, and material moving occupations; Estimate; Transportation and warehousing, and utilities"
HC06_MOE_VC07,"Production, transportation, and material moving occupations; Margin of Error; Transportation and warehousing, and utilities"
HC01_EST_VC08,Total; Estimate; Information
HC01_MOE_VC08,Total; Margin of Error; Information
HC02_EST_VC08,"Management, business, science, and arts occupations; Estimate; Information"
HC02_MOE_VC08,"Management, business, science, and arts occupations; Margin of Error; Information"
HC03_EST_VC08,Service occupations; Estimate; Information
HC03_MOE_VC08,Service occupations; Margin of Error; Information
HC04_EST_VC08,Sales and office occupations; Estimate; Information
HC04_MOE_VC08,Sales and office occupations; Margin of Error; Information
HC05_EST_VC08,"Natural resources, construction, and maintenance occupations; Estimate; Information"
HC05_MOE_VC08,"Natural resources, construction, and maintenance occupations; Margin of Error; Information"
HC06_EST_VC08,"Production, transportation, and material moving occupations; Estimate; Information"
HC06_MOE_VC08,"Production, transportation, and material moving occupations; Margin of Error; Information"
HC01_EST_VC09,"Total; Estimate; Finance and insurance, and real estate and rental and leasing"
HC01_MOE_VC09,"Total; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC02_EST_VC09,"Management, business, science, and arts occupations; Estimate; Finance and insurance, and real estate and rental and leasing"
HC02_MOE_VC09,"Management, business, science, and arts occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC03_EST_VC09,"Service occupations; Estimate; Finance and insurance, and real estate and rental and leasing"
HC03_MOE_VC09,"Service occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC04_EST_VC09,"Sales and office occupations; Estimate; Finance and insurance, and real estate and rental and leasing"
HC04_MOE_VC09,"Sales and office occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC05_EST_VC09,"Natural resources, construction, and maintenance occupations; Estimate; Finance and insurance, and real estate and rental and leasing"
HC05_MOE_VC09,"Natural resources, construction, and maintenance occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC06_EST_VC09,"Production, transportation, and material moving occupations; Estimate; Finance and insurance, and real estate and rental and leasing"
HC06_MOE_VC09,"Production, transportation, and material moving occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing"
HC01_EST_VC10,"Total; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC01_MOE_VC10,"Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC02_EST_VC10,"Management, business, science, and arts occupations; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC02_MOE_VC10,"Management, business, science, and arts occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC03_EST_VC10,"Service occupations; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC03_MOE_VC10,"Service occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC04_EST_VC10,"Sales and office occupations; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC04_MOE_VC10,"Sales and office occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC05_EST_VC10,"Natural resources, construction, and maintenance occupations; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC05_MOE_VC10,"Natural resources, construction, and maintenance occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC06_EST_VC10,"Production, transportation, and material moving occupations; Estimate; Professional, scientific, and management, and administrative and waste management services"
HC06_MOE_VC10,"Production, transportation, and material moving occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services"
HC01_EST_VC11,"Total; Estimate; Educational services, and health care and social assistance"
HC01_MOE_VC11,"Total; Margin of Error; Educational services, and health care and social assistance"
HC02_EST_VC11,"Management, business, science, and arts occupations; Estimate; Educational services, and health care and social assistance"
HC02_MOE_VC11,"Management, business, science, and arts occupations; Margin of Error; Educational services, and health care and social assistance"
HC03_EST_VC11,"Service occupations; Estimate; Educational services, and health care and social assistance"
HC03_MOE_VC11,"Service occupations; Margin of Error; Educational services, and health care and social assistance"
HC04_EST_VC11,"Sales and office occupations; Estimate; Educational services, and health care and social assistance"
HC04_MOE_VC11,"Sales and office occupations; Margin of Error; Educational services, and health care and social assistance"
HC05_EST_VC11,"Natural resources, construction, and maintenance occupations; Estimate; Educational services, and health care and social assistance"
HC05_MOE_VC11,"Natural resources, construction, and maintenance occupations; Margin of Error; Educational services, and health care and social assistance"
HC06_EST_VC11,"Production, transportation, and material moving occupations; Estimate; Educational services, and health care and social assistance"
HC06_MOE_VC11,"Production, transportation, and material moving occupations; Margin of Error; Educational services, and health care and social assistance"
HC01_EST_VC12,"Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC01_MOE_VC12,"Total; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC02_EST_VC12,"Management, business, science, and arts occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC02_MOE_VC12,"Management, business, science, and arts occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC03_EST_VC12,"Service occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC03_MOE_VC12,"Service occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC04_EST_VC12,"Sales and office occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC04_MOE_VC12,"Sales and office occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC05_EST_VC12,"Natural resources, construction, and maintenance occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC05_MOE_VC12,"Natural resources, construction, and maintenance occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC06_EST_VC12,"Production, transportation, and material moving occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services"
HC06_MOE_VC12,"Production, transportation, and material moving occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services"
HC01_EST_VC13,"Total; Estimate; Other services, except public administration"
HC01_MOE_VC13,"Total; Margin of Error; Other services, except public administration"
HC02_EST_VC13,"Management, business, science, and arts occupations; Estimate; Other services, except public administration"
HC02_MOE_VC13,"Management, business, science, and arts occupations; Margin of Error; Other services, except public administration"
HC03_EST_VC13,"Service occupations; Estimate; Other services, except public administration"
HC03_MOE_VC13,"Service occupations; Margin of Error; Other services, except public administration"
HC04_EST_VC13,"Sales and office occupations; Estimate; Other services, except public administration"
HC04_MOE_VC13,"Sales and office occupations; Margin of Error; Other services, except public administration"
HC05_EST_VC13,"Natural resources, construction, and maintenance occupations; Estimate; Other services, except public administration"
HC05_MOE_VC13,"Natural resources, construction, and maintenance occupations; Margin of Error; Other services, except public administration"
HC06_EST_VC13,"Production, transportation, and material moving occupations; Estimate; Other services, except public administration"
HC06_MOE_VC13,"Production, transportation, and material moving occupations; Margin of Error; Other services, except public administration"
HC01_EST_VC14,Total; Estimate; Public administration
HC01_MOE_VC14,Total; Margin of Error; Public administration
HC02_EST_VC14,"Management, business, science, and arts occupations; Estimate; Public administration"
HC02_MOE_VC14,"Management, business, science, and arts occupations; Margin of Error; Public administration"
HC03_EST_VC14,Service occupations; Estimate; Public administration
HC03_MOE_VC14,Service occupations; Margin of Error; Public administration
HC04_EST_VC14,Sales and office occupations; Estimate; Public administration
HC04_MOE_VC14,Sales and office occupations; Margin of Error; Public administration
HC05_EST_VC14,"Natural resources, construction, and maintenance occupations; Estimate; Public administration"
HC05_MOE_VC14,"Natural resources, construction, and maintenance occupations; Margin of Error; Public administration"
HC06_EST_VC14,"Production, transportation, and material moving occupations; Estimate; Public administration"
HC06_MOE_VC14,"Production, transportation, and material moving occupations; Margin of Error; Public administration"
HC01_EST_VC17,Total; Estimate; PERCENT ALLOCATED - Industry
HC01_MOE_VC17,Total; Margin of Error; PERCENT ALLOCATED - Industry
HC02_EST_VC17,"Management, business, science, and arts occupations; Estimate; PERCENT ALLOCATED - Industry"
HC02_MOE_VC17,"Management, business, science, and arts occupations; Margin of Error; PERCENT ALLOCATED - Industry"
HC03_EST_VC17,Service occupations; Estimate; PERCENT ALLOCATED - Industry
HC03_MOE_VC17,Service occupations; Margin of Error; PERCENT ALLOCATED - Industry
HC04_EST_VC17,Sales and office occupations; Estimate; PERCENT ALLOCATED - Industry
HC04_MOE_VC17,Sales and office occupations; Margin of Error; PERCENT ALLOCATED - Industry
HC05_EST_VC17,"Natural resources, construction, and maintenance occupations; Estimate; PERCENT ALLOCATED - Industry"
HC05_MOE_VC17,"Natural resources, construction, and maintenance occupations; Margin of Error; PERCENT ALLOCATED - Industry"
HC06_EST_VC17,"Production, transportation, and material moving occupations; Estimate; PERCENT ALLOCATED - Industry"
HC06_MOE_VC17,"Production, transportation, and material moving occupations; Margin of Error; PERCENT ALLOCATED - Industry"
